País,Site,Mês,Ano,Total de Vendas
Austrália,Etsy,6,2024,450
Austrália,Etsy,7,2024,350
Austrália,Etsy,8,2024,350
Austrália,Shopee,10,2024,140
Austrália,AliExpress,8,2024,280
Austrália,AliExpress,9,2024,80
Canadá,Etsy,6,2024,450
Canadá,Etsy,8,2024,100
Canadá,Etsy,8,2024,180
Canadá,Etsy,9,2024,300
Canadá,Shopee,7,2024,100
Canadá,Shopee,8,2024,180
Canadá,Shopee,9,2024,450
Canadá,Shopee,10,2024,210
Canadá,AliExpress,9,2024,280
França,Etsy,9,2024,440
França,Etsy,6,2024,70
França,Etsy,7,2024,550
França,Etsy,8,2024,70
França,Shopee,10,2024,400
França,Shopee,7,2024,210
França,AliExpress,10,2024,360
França,AliExpress,8,2024,90
França,AliExpress,7,2024,270
Alemanha,Etsy,7,2024,210
Alemanha,Etsy,8,2024,210
Alemanha,Etsy,10,2024,70
Alemanha,AliExpress,5,2024,500
Alemanha,AliExpress,8,2024,80
Alemanha,AliExpress,9,2024,160
Japão,Etsy,8,2024,500
Japão,Etsy,7,2024,550
Japão,Shopee,9,2024,200
Japão,Shopee,10,2024,350
Japão,AliExpress,8,2024,100
Reino Unido,Etsy,10,2024,270
Reino Unido,Etsy,8,2024,180
Reino Unido,AliExpress,10,2024,330
Reino Unido,AliExpress,8,2024,360
Reino Unido,AliExpress,9,2024,90
